"","reference_contig","position","variable","value"
"116","KC677632",97,"FET_2.3",0.726
"117","KC677632",186,"FET_2.3",0.468
"118","KC677632",202,"FET_2.3",0
"119","KC677632",215,"FET_2.3",0
"120","KC677632",283,"FET_2.3",0
"121","KC677632",328,"FET_2.3",0
"122","KC677632",374,"FET_2.3",7.85
"123","KC677632",465,"FET_2.3",0
"124","KC677632",471,"FET_2.3",0
"125","KC677632",510,"FET_2.3",0.227
"126","KC677632",524,"FET_2.3",0
"127","KC677632",559,"FET_2.3",0
"128","KC677632",589,"FET_2.3",4.87
"129","KC677632",608,"FET_2.3",3.327
"130","KC677632",617,"FET_2.3",1.395
"131","KC677632",640,"FET_2.3",0
"132","KC677632",675,"FET_2.3",0
"133","KC677632",680,"FET_2.3",0.468
"134","KC677632",707,"FET_2.3",2.199
"135","KC677632",717,"FET_2.3",20.38
"136","KC677632",759,"FET_2.3",0
"137","KC677632",760,"FET_2.3",0
"138","KC677632",912,"FET_2.3",0
"139","KC677632",917,"FET_2.3",16.01
"140","KC677632",1042,"FET_2.3",8.563
"141","KC677632",1136,"FET_2.3",0
"142","KC677632",1286,"FET_2.3",0
"143","KC677632",1306,"FET_2.3",0
"144","KC677632",1312,"FET_2.3",1.095
"145","KC677632",1464,"FET_2.3",6.554
"146","KC677632",1554,"FET_2.3",6.462
"147","KC677632",1555,"FET_2.3",0
"148","KC677632",1559,"FET_2.3",1.612
"149","KC677632",1702,"FET_2.3",0
"150","KC677632",1713,"FET_2.3",0
"151","KC677632",1721,"FET_2.3",0
"152","KC677632",1723,"FET_2.3",0
"153","KC677632",1763,"FET_2.3",0.773
"154","KC677632",1771,"FET_2.3",0
"155","KC677632",1797,"FET_2.3",1.776
"156","KC677632",1815,"FET_2.3",7.455
"157","KC677632",1842,"FET_2.3",0.284
"158","KC677632",1875,"FET_2.3",0
"159","KC677632",1879,"FET_2.3",0
"160","KC677632",1901,"FET_2.3",0
"161","KC677632",1924,"FET_2.3",0
"162","KC677632",1934,"FET_2.3",0
"163","KC677632",1941,"FET_2.3",0
"164","KC677632",1956,"FET_2.3",15.01
"165","KC677632",2014,"FET_2.3",0
"166","KC677632",2038,"FET_2.3",0
"167","KC677632",2110,"FET_2.3",0
"168","KC677633",25,"FET_2.3",0
"169","KC677633",53,"FET_2.3",12.64
"170","KC677633",54,"FET_2.3",12.38
"171","KC677633",120,"FET_2.3",1.325
"172","KC677633",123,"FET_2.3",1.505
"173","KC677633",139,"FET_2.3",0
"174","KC677633",148,"FET_2.3",0.901
"175","KC677633",167,"FET_2.3",6.621
"176","KC677633",168,"FET_2.3",0
"177","KC677633",171,"FET_2.3",0
"178","KC677633",172,"FET_2.3",0.73
"179","KC677633",181,"FET_2.3",0
"180","KC677633",195,"FET_2.3",0.555
"181","KC677633",208,"FET_2.3",0.295
"182","KC677633",227,"FET_2.3",0
"183","KC677633",233,"FET_2.3",0.622
"184","KC677633",248,"FET_2.3",1.415
"185","KC677633",256,"FET_2.3",1.989
"186","KC677633",259,"FET_2.3",0
"187","KC677633",319,"FET_2.3",2.045
"188","KC677633",331,"FET_2.3",0
"189","KC677633",370,"FET_2.3",0
"190","KC677633",378,"FET_2.3",2.189
"191","KC677633",382,"FET_2.3",0
"192","KC677633",383,"FET_2.3",0
"193","KC677633",401,"FET_2.3",0
"194","KC677633",515,"FET_2.3",1.495
"195","KC677633",522,"FET_2.3",0
"196","KC677633",593,"FET_2.3",0
"197","KC677633",603,"FET_2.3",0
"198","KC677633",605,"FET_2.3",2.161
"199","KC677633",639,"FET_2.3",2.387
"200","KC677633",676,"FET_2.3",0
"201","KC677633",684,"FET_2.3",1.484
"202","KC677633",687,"FET_2.3",0
"203","KC677633",726,"FET_2.3",3.058
"204","KC677633",727,"FET_2.3",0
"205","KC677633",824,"FET_2.3",2.95
"206","KC677633",877,"FET_2.3",13.3
"207","KC677633",900,"FET_2.3",2.475
"208","KC677633",904,"FET_2.3",4.033
"209","KC677633",909,"FET_2.3",0.796
"210","KC677633",916,"FET_2.3",1.527
"211","KC677633",974,"FET_2.3",2.014
"212","KC677633",981,"FET_2.3",1.664
"213","KC677633",1009,"FET_2.3",2.157
"214","KC677633",1023,"FET_2.3",2.312
"215","KC677633",1073,"FET_2.3",3.09
"216","KC677633",1115,"FET_2.3",3.146
"217","KC677633",1195,"FET_2.3",0.49
"218","KC677633",1214,"FET_2.3",1.595
"219","KC677633",1227,"FET_2.3",1.396
"220","KC677633",1228,"FET_2.3",1.08
"221","KC677633",1364,"FET_2.3",0.815
"222","KC677633",1374,"FET_2.3",4.802
"223","KC677633",1383,"FET_2.3",0
"224","KC677633",1416,"FET_2.3",5.608
"225","KC677633",1423,"FET_2.3",0
"226","KC677633",1430,"FET_2.3",3.934
"227","KC677633",1443,"FET_2.3",1.943
"228","KC677633",1466,"FET_2.3",0
"229","KC677633",1492,"FET_2.3",2.354
"230","KC677633",1498,"FET_2.3",1.608
"231","KC677633",1512,"FET_2.3",5.931
"232","KC677633",1517,"FET_2.3",0
"233","KC677633",1520,"FET_2.3",0
"234","KC677633",1544,"FET_2.3",0.603
"235","KC677633",1545,"FET_2.3",3.158
"236","KC677633",1551,"FET_2.3",0
"237","KC677633",1590,"FET_2.3",3.999
"238","KC677633",1604,"FET_2.3",0
"239","KC677633",1616,"FET_2.3",0
"240","KC677633",1624,"FET_2.3",0
"241","KC677633",1635,"FET_2.3",1.247
"242","KC677633",1694,"FET_2.3",0
"243","KC677633",1700,"FET_2.3",0
"244","KC677633",1701,"FET_2.3",5.812
"245","KC677633",1756,"FET_2.3",0
"246","KC677633",1757,"FET_2.3",1.197
"247","KC677633",1761,"FET_2.3",5.845
"248","KC677633",1901,"FET_2.3",0
"249","KC677634",88,"FET_2.3",0.366
"250","KC677634",102,"FET_2.3",0.352
"251","KC677634",122,"FET_2.3",2.528
"252","KC677634",216,"FET_2.3",0
"253","KC677634",234,"FET_2.3",0
"254","KC677634",236,"FET_2.3",0
"255","KC677634",256,"FET_2.3",0.521
"256","KC677634",298,"FET_2.3",0
"257","KC677634",325,"FET_2.3",7.643
"258","KC677634",345,"FET_2.3",0
"259","KC677634",361,"FET_2.3",0.442
"260","KC677634",366,"FET_2.3",0
"261","KC677634",369,"FET_2.3",0
"262","KC677634",394,"FET_2.3",0
"263","KC677634",400,"FET_2.3",0
"264","KC677634",405,"FET_2.3",0
"265","KC677634",412,"FET_2.3",0
"266","KC677634",429,"FET_2.3",0
"267","KC677634",443,"FET_2.3",0
"268","KC677634",459,"FET_2.3",0
"269","KC677634",460,"FET_2.3",0
"270","KC677634",491,"FET_2.3",0
"271","KC677634",512,"FET_2.3",0
"272","KC677634",527,"FET_2.3",0
"273","KC677634",535,"FET_2.3",2.452
"274","KC677634",561,"FET_2.3",0.796
"275","KC677634",565,"FET_2.3",0
"276","KC677634",571,"FET_2.3",0.791
"277","KC677634",590,"FET_2.3",1.738
"278","KC677634",613,"FET_2.3",5.441
"279","KC677634",695,"FET_2.3",0
"280","KC677634",714,"FET_2.3",1.62
"281","KC677634",715,"FET_2.3",0
"282","KC677634",718,"FET_2.3",0
"283","KC677634",722,"FET_2.3",0
"284","KC677634",727,"FET_2.3",3.283
"285","KC677634",739,"FET_2.3",0
"286","KC677634",747,"FET_2.3",0
"287","KC677634",768,"FET_2.3",0.279
"288","KC677634",780,"FET_2.3",2.436
"289","KC677635",79,"FET_2.3",0
"290","KC677635",117,"FET_2.3",5.34
"291","KC677635",179,"FET_2.3",7.736
"292","KC677635",266,"FET_2.3",6.81
"293","KC677635",268,"FET_2.3",8.424
"294","KC677635",301,"FET_2.3",0
"295","KC677635",374,"FET_2.3",6.883
"296","KC677635",438,"FET_2.3",0.817
"297","KC677635",452,"FET_2.3",9.263
"298","KC677635",488,"FET_2.3",4.146
"299","KC677635",538,"FET_2.3",0.621
"300","KC677635",556,"FET_2.3",3.06
"301","KC677635",575,"FET_2.3",3.022
"302","KC677635",607,"FET_2.3",7.621
"303","KC677635",641,"FET_2.3",0.734
"304","KC677635",642,"FET_2.3",0.743
"305","KC677635",644,"FET_2.3",5.496
"306","KC677635",715,"FET_2.3",14.01
"307","KC677635",731,"FET_2.3",7.512
"308","KC677635",732,"FET_2.3",6.609
"309","KC677635",747,"FET_2.3",0.85
"310","KC677635",787,"FET_2.3",3.155
"311","KC677635",805,"FET_2.3",2.981
"312","KC677635",822,"FET_2.3",8.467
"313","KC677635",831,"FET_2.3",4.772
"314","KC677635",880,"FET_2.3",2.462
"315","KC677635",919,"FET_2.3",16.66
"316","KC677635",940,"FET_2.3",11.28
"317","KC677635",956,"FET_2.3",9.014
"318","KC677635",964,"FET_2.3",11.02
"319","KC677635",972,"FET_2.3",14.47
"320","KC677635",1003,"FET_2.3",15.46
"321","KC677635",1013,"FET_2.3",2.305
"322","KC677635",1046,"FET_2.3",0.702
"323","KC677635",1047,"FET_2.3",0.679
"324","KC677635",1079,"FET_2.3",16.78
"325","KC677635",1082,"FET_2.3",13.02
"326","KC677635",1087,"FET_2.3",0
"327","KC677635",1150,"FET_2.3",5.202
"328","KC677635",1160,"FET_2.3",7.712
"329","KC677635",1179,"FET_2.3",5.983
"330","KC677635",1205,"FET_2.3",4.344
"331","KC677635",1220,"FET_2.3",1.272
"332","KC677635",1245,"FET_2.3",1.557
"333","KC677635",1259,"FET_2.3",3.708
"334","KC677635",1284,"FET_2.3",3.931
"335","KC677635",1304,"FET_2.3",3.11
"336","KC677635",1356,"FET_2.3",2.992
"337","KC677635",1501,"FET_2.3",4.18
"338","KC677635",1528,"FET_2.3",1.654
"339","KC677635",1580,"FET_2.3",4.916
"340","KC677635",1624,"FET_2.3",4.55
"341","KC677635",1661,"FET_2.3",2.935
"342","KC677635",1677,"FET_2.3",0
"343","KC677635",1809,"FET_2.3",3.707
"344","KC677635",1853,"FET_2.3",1.45
"345","KC677635",1868,"FET_2.3",1.687
"346","KC677635",1918,"FET_2.3",7.476
"347","KC677635",1936,"FET_2.3",4.797
"348","KC677635",1948,"FET_2.3",7.086
"349","KC677635",2048,"FET_2.3",0.147
"350","KC677635",2060,"FET_2.3",0
"351","KC677635",2070,"FET_2.3",1.184
"352","KC677635",2073,"FET_2.3",1.1
"353","KC677635",2119,"FET_2.3",1.218
"354","KC677635",2120,"FET_2.3",2.193
"355","KC677635",2143,"FET_2.3",8.366
"356","KC677635",2173,"FET_2.3",6.236
"357","KC677635",2234,"FET_2.3",0
"358","KC677635",2254,"FET_2.3",0.239
"359","KC677635",2270,"FET_2.3",7.949
"360","KC677635",2295,"FET_2.3",0
"361","KC677635",2323,"FET_2.3",1.37
"362","KC677635",2329,"FET_2.3",0
"363","KC677635",2337,"FET_2.3",1.449
"364","KC677635",2348,"FET_2.3",9.646
"365","KC677635",2359,"FET_2.3",0
"366","KC677635",2384,"FET_2.3",7.07
"367","KC677635",2393,"FET_2.3",0
"368","KC677635",2432,"FET_2.3",0
"369","KC677635",2442,"FET_2.3",4.559
"370","KC677635",2483,"FET_2.3",2.247
"371","KC677635",2487,"FET_2.3",4.455
"372","KC677635",2493,"FET_2.3",0
"373","KC677635",2528,"FET_2.3",0.763
"374","KC677635",2542,"FET_2.3",0
"375","KC677635",2547,"FET_2.3",0
"376","KC677635",2550,"FET_2.3",1.778
"377","KC677635",2578,"FET_2.3",2.201
"378","KC677635",2587,"FET_2.3",0
"379","KC677635",2593,"FET_2.3",0.633
"380","KC677635",2644,"FET_2.3",1.966
"381","KC677635",2698,"FET_2.3",0
"382","KC677635",2735,"FET_2.3",6.359
"383","KC677636",127,"FET_2.3",2.93
"384","KC677636",132,"FET_2.3",0
"385","KC677636",162,"FET_2.3",0
"386","KC677636",194,"FET_2.3",0
"387","KC677636",202,"FET_2.3",0
"388","KC677636",507,"FET_2.3",0
"389","KC677636",598,"FET_2.3",0
"390","KC677636",639,"FET_2.3",4.407
"391","KC677636",642,"FET_2.3",0
"392","KC677636",712,"FET_2.3",0
"393","KC677636",756,"FET_2.3",0
"394","KC677636",834,"FET_2.3",1.539
"395","KC677636",1088,"FET_2.3",0
"396","KC677636",1231,"FET_2.3",0
"397","KC677636",1235,"FET_2.3",0
"398","KC677636",1274,"FET_2.3",4.519
"399","KC677636",1442,"FET_2.3",0
"400","KC677636",1460,"FET_2.3",0
"401","KC677636",1503,"FET_2.3",0
"402","KC677636",1557,"FET_2.3",0
"403","KC677636",1711,"FET_2.3",0
"404","KC677636",1807,"FET_2.3",0
"405","KC677636",1847,"FET_2.3",0
"406","KC677636",1896,"FET_2.3",0
"407","KC677637",322,"FET_2.3",0.822
"408","KC677637",327,"FET_2.3",16.63
"409","KC677637",389,"FET_2.3",0.529
"410","KC677637",600,"FET_2.3",0
"411","KC677637",607,"FET_2.3",0
"412","KC677637",750,"FET_2.3",0
"413","KC677637",760,"FET_2.3",0.258
"414","KC677637",768,"FET_2.3",23.25
"415","KC677637",772,"FET_2.3",0.152
"416","KC677637",796,"FET_2.3",13.92
"417","KC677637",811,"FET_2.3",0
"418","KC677637",833,"FET_2.3",0
"419","KC677637",836,"FET_2.3",23.51
"420","KC677637",887,"FET_2.3",6.653
"421","KC677637",937,"FET_2.3",0
"422","KC677637",1007,"FET_2.3",0
"423","KC677637",1022,"FET_2.3",0
"424","KC677637",1035,"FET_2.3",1.538
"425","KC677637",1075,"FET_2.3",1.482
"426","KC677637",1097,"FET_2.3",0.455
"427","KC677637",1103,"FET_2.3",0
"428","KC677637",1104,"FET_2.3",0
"429","KC677637",1134,"FET_2.3",0
"430","KC677637",1141,"FET_2.3",68.94
"431","KC677637",1150,"FET_2.3",0
"432","KC677637",1161,"FET_2.3",20.36
"433","KC677637",1170,"FET_2.3",0
"434","KC677637",1186,"FET_2.3",0.517
"435","KC677637",1187,"FET_2.3",0
"436","KC677637",1202,"FET_2.3",0
"437","KC677637",1230,"FET_2.3",0
"438","KC677637",1232,"FET_2.3",3.39
"439","KC677637",1239,"FET_2.3",0.518
"440","KC677637",1249,"FET_2.3",0
"441","KC677637",1250,"FET_2.3",4.139
"442","KC677637",1258,"FET_2.3",0
"443","KC677637",1259,"FET_2.3",0
"444","KC677637",1267,"FET_2.3",0
"445","KC677637",1270,"FET_2.3",0
"446","KC677637",1282,"FET_2.3",2.123
"447","KC677637",1296,"FET_2.3",0
"448","KC677637",1300,"FET_2.3",1.42
"449","KC677637",1302,"FET_2.3",0
"450","KC677637",1303,"FET_2.3",0
"451","KC677637",1315,"FET_2.3",0
"452","KC677637",1318,"FET_2.3",0
"453","KC677637",1326,"FET_2.3",0
"454","KC677637",1328,"FET_2.3",0.803
"455","KC677637",1337,"FET_2.3",0
"456","KC677637",1338,"FET_2.3",1.338
"457","KC677637",1339,"FET_2.3",0.777
"458","KC677637",1346,"FET_2.3",0.787
"459","KC677637",1365,"FET_2.3",3.751
"460","KC677637",1376,"FET_2.3",0
"461","KC677637",1444,"FET_2.3",0
"462","KC677637",1494,"FET_2.3",10.42
"463","KC677637",1561,"FET_2.3",0
"464","KC677637",1571,"FET_2.3",0
"465","KC677637",1628,"FET_2.3",0
"466","KC677637",1641,"FET_2.3",0
"467","KC677637",1688,"FET_2.3",0
"468","KC677637",1703,"FET_2.3",0
"469","KC677637",1706,"FET_2.3",0
"470","KC677637",1729,"FET_2.3",0
"471","KC677637",1783,"FET_2.3",0
"472","KC677637",1790,"FET_2.3",0
"473","KC677637",1792,"FET_2.3",0
"474","KC677637",1806,"FET_2.3",8.168
"475","KC677637",1813,"FET_2.3",4.511
"476","KC677638",124,"FET_2.3",0.731
"477","KC677638",141,"FET_2.3",0
"478","KC677638",148,"FET_2.3",0
"479","KC677638",174,"FET_2.3",0
"480","KC677638",204,"FET_2.3",0.696
"481","KC677638",257,"FET_2.3",1.983
"482","KC677638",308,"FET_2.3",0
"483","KC677638",330,"FET_2.3",0
"484","KC677638",455,"FET_2.3",0
"485","KC677638",459,"FET_2.3",3.711
"486","KC677638",467,"FET_2.3",0
"487","KC677638",508,"FET_2.3",2.027
"488","KC677638",509,"FET_2.3",0
"489","KC677638",575,"FET_2.3",0
"490","KC677638",616,"FET_2.3",0
"491","KC677638",631,"FET_2.3",1.456
"492","KC677638",632,"FET_2.3",0
"493","KC677638",636,"FET_2.3",0
"494","KC677638",718,"FET_2.3",0
"495","KC677638",723,"FET_2.3",1.756
"496","KC677638",813,"FET_2.3",0
"497","KC677638",840,"FET_2.3",0
"498","KC677638",855,"FET_2.3",0
"499","KC677638",902,"FET_2.3",0
"500","KC677638",904,"FET_2.3",0
"501","KC677638",955,"FET_2.3",0.682
"502","KC677638",978,"FET_2.3",0
"503","KC677638",997,"FET_2.3",0.814
"504","KC677638",1012,"FET_2.3",0
"505","KC677638",1023,"FET_2.3",0
"506","KC677638",1058,"FET_2.3",0
"507","KC677638",1124,"FET_2.3",0
"508","KC677638",1194,"FET_2.3",0
"509","KC677638",1310,"FET_2.3",0
"510","KC677638",1330,"FET_2.3",0
"511","KC677638",1339,"FET_2.3",0
"512","KC677638",1342,"FET_2.3",0
"513","KC677638",1345,"FET_2.3",0
"514","KC677639",135,"FET_2.3",0.878
"515","KC677639",201,"FET_2.3",0
"516","KC677639",210,"FET_2.3",0
"517","KC677639",222,"FET_2.3",0
"518","KC677639",239,"FET_2.3",0
"519","KC677639",252,"FET_2.3",0
"520","KC677639",312,"FET_2.3",0.462
"521","KC677639",359,"FET_2.3",0
"522","KC677639",369,"FET_2.3",0
"523","KC677639",414,"FET_2.3",0
"524","KC677639",418,"FET_2.3",0
"525","KC677639",419,"FET_2.3",0.583
"526","KC677639",427,"FET_2.3",0
"527","KC677639",432,"FET_2.3",0
"528","KC677639",486,"FET_2.3",0.604
"529","KC677639",504,"FET_2.3",0
"530","KC677639",543,"FET_2.3",0
"531","KC677639",649,"FET_2.3",0
"532","KC677639",659,"FET_2.3",0
"533","KC677639",692,"FET_2.3",0
"534","KC677639",781,"FET_2.3",2.667
"535","KC677639",795,"FET_2.3",0.242
"536","KC677639",797,"FET_2.3",0
"537","KC677639",882,"FET_2.3",0
"538","KC677640",41,"FET_2.3",0
"539","KC677640",67,"FET_2.3",0.527
"540","KC677640",89,"FET_2.3",0
"541","KC677640",160,"FET_2.3",1.443
"542","KC677640",183,"FET_2.3",0
"543","KC677640",186,"FET_2.3",1.659
"544","KC677640",229,"FET_2.3",0
"545","KC677640",230,"FET_2.3",0
"546","KC677640",242,"FET_2.3",1.662
"547","KC677640",371,"FET_2.3",5.35
"548","KC677640",411,"FET_2.3",0.724
"549","KC677640",441,"FET_2.3",0
"550","KC677640",461,"FET_2.3",0
"551","KC677640",462,"FET_2.3",0
"552","KC677640",473,"FET_2.3",0
"553","KC677640",483,"FET_2.3",0
"554","KC677640",495,"FET_2.3",0.552
"555","KC677640",496,"FET_2.3",0.237
"556","KC677640",538,"FET_2.3",3.8
"557","KC677640",551,"FET_2.3",0
"558","KC677640",562,"FET_2.3",0
"559","KC677640",575,"FET_2.3",0.238
"560","KC677631",191,"FET_2.4",0.169
"561","KC677631",309,"FET_2.4",1.393
"562","KC677631",373,"FET_2.4",0
"563","KC677631",432,"FET_2.4",0
"564","KC677631",456,"FET_2.4",0
"565","KC677631",485,"FET_2.4",0.676
"566","KC677631",510,"FET_2.4",0
"567","KC677631",514,"FET_2.4",3.943
"568","KC677631",516,"FET_2.4",0.673
"569","KC677631",554,"FET_2.4",3.29
"570","KC677631",560,"FET_2.4",0
"571","KC677631",565,"FET_2.4",1.094
"572","KC677631",671,"FET_2.4",8.959
"573","KC677631",733,"FET_2.4",0
"574","KC677631",765,"FET_2.4",7.097
"575","KC677631",787,"FET_2.4",0
"576","KC677631",801,"FET_2.4",0
"577","KC677631",810,"FET_2.4",9.145
"578","KC677631",850,"FET_2.4",0
"579","KC677631",859,"FET_2.4",0
"580","KC677631",890,"FET_2.4",0.706
"581","KC677631",892,"FET_2.4",0.479
"582","KC677631",897,"FET_2.4",0.457
"583","KC677631",934,"FET_2.4",0
"584","KC677631",997,"FET_2.4",0
"585","KC677631",998,"FET_2.4",0
"586","KC677631",1009,"FET_2.4",0.146
"587","KC677631",1011,"FET_2.4",0.708
"588","KC677631",1024,"FET_2.4",0
"589","KC677631",1032,"FET_2.4",0
"590","KC677631",1037,"FET_2.4",0
"591","KC677631",1063,"FET_2.4",0
"592","KC677631",1065,"FET_2.4",0.314
"593","KC677631",1082,"FET_2.4",0.725
"594","KC677631",1095,"FET_2.4",0.396
"595","KC677631",1121,"FET_2.4",0
"596","KC677631",1154,"FET_2.4",0
"597","KC677631",1196,"FET_2.4",0
"598","KC677631",1201,"FET_2.4",0
"599","KC677631",1249,"FET_2.4",0.463
"600","KC677631",1260,"FET_2.4",0.674
"601","KC677631",1272,"FET_2.4",0.679
"602","KC677631",1275,"FET_2.4",0
"603","KC677631",1296,"FET_2.4",0.873
"604","KC677631",1301,"FET_2.4",0
"605","KC677631",1356,"FET_2.4",2.972
"606","KC677631",1398,"FET_2.4",0
"607","KC677631",1433,"FET_2.4",2.963
"608","KC677631",1476,"FET_2.4",1.481
"609","KC677631",1533,"FET_2.4",1.054
"610","KC677631",1551,"FET_2.4",0
"611","KC677631",1555,"FET_2.4",0
"612","KC677631",1561,"FET_2.4",0.289
"613","KC677631",1566,"FET_2.4",7.549
"614","KC677631",1582,"FET_2.4",0
"615","KC677631",1652,"FET_2.4",0
"616","KC677631",1671,"FET_2.4",0.22
"617","KC677631",1701,"FET_2.4",0
"618","KC677631",1708,"FET_2.4",0
"619","KC677631",1790,"FET_2.4",0
"620","KC677631",1792,"FET_2.4",0
"621","KC677631",1797,"FET_2.4",0.443
"622","KC677631",1819,"FET_2.4",0.684
"623","KC677631",1827,"FET_2.4",0
"624","KC677631",1881,"FET_2.4",0.227
"625","KC677631",1897,"FET_2.4",0.226
"626","KC677631",1899,"FET_2.4",0
"627","KC677631",1912,"FET_2.4",0
"628","KC677631",1914,"FET_2.4",0
"629","KC677631",1921,"FET_2.4",0
"630","KC677631",1922,"FET_2.4",0
"631","KC677631",1933,"FET_2.4",0
"632","KC677631",2071,"FET_2.4",0
"633","KC677631",2109,"FET_2.4",0
"634","KC677631",2111,"FET_2.4",0
"635","KC677631",2126,"FET_2.4",0
"636","KC677631",2144,"FET_2.4",0
"637","KC677631",2225,"FET_2.4",0
"638","KC677631",2240,"FET_2.4",0
"639","KC677631",2292,"FET_2.4",0
"640","KC677631",2314,"FET_2.4",0
"641","KC677631",2329,"FET_2.4",0.226
"642","KC677631",2340,"FET_2.4",0
"643","KC677631",2439,"FET_2.4",0
"644","KC677631",2514,"FET_2.4",0
"645","KC677631",2561,"FET_2.4",0
"646","KC677631",2565,"FET_2.4",0
"647","KC677631",2601,"FET_2.4",0.231
"648","KC677631",2608,"FET_2.4",0
"649","KC677631",2648,"FET_2.4",0.473
"650","KC677631",2665,"FET_2.4",0
"651","KC677631",2762,"FET_2.4",0
